SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,Algorithm,InputType,TransmissionPower
72,0,0,10,AODV,None,Simple,7.5
73,0,0,10,AODV,None,Simple,7.5
74,0,0,10,AODV,None,Simple,7.5
75,0,0,10,AODV,None,Simple,7.5
76,0,0,10,AODV,None,Simple,7.5
77,0,0,10,AODV,None,Simple,7.5
78,0,0,10,AODV,None,Simple,7.5
79,0,0,10,AODV,None,Simple,7.5
80,0,0,10,AODV,None,Simple,7.5
81,0,0,10,AODV,None,Simple,7.5
82,0,0,10,AODV,None,Simple,7.5
83,0,0,10,AODV,None,Simple,7.5
84,0,0,10,AODV,None,Simple,7.5
85,0,0,10,AODV,None,Simple,7.5
86,0,0,10,AODV,None,Simple,7.5
87,0,0,10,AODV,None,Simple,7.5
88,0,0,10,AODV,None,Simple,7.5
89,0,0,10,AODV,None,Simple,7.5
90,0,0,10,AODV,None,Simple,7.5
91,0,0,10,AODV,None,Simple,7.5
92,0,0,10,AODV,None,Simple,7.5
93,0,0,10,AODV,None,Simple,7.5
94,0,0,10,AODV,None,Simple,7.5
95,0,0,10,AODV,None,Simple,7.5
96,0,0,10,AODV,None,Simple,7.5
97,0,0,10,AODV,None,Simple,7.5
98,0,0,10,AODV,None,Simple,7.5
99,0,0,10,AODV,None,Simple,7.5
100,0,0,10,AODV,None,Simple,7.5
101,2.048,8,10,AODV,None,Simple,7.5
102,8.96,35,10,AODV,None,Simple,7.5
103,18.176,71,10,AODV,None,Simple,7.5
104,20.992,82,10,AODV,None,Simple,7.5
105,18.944,74,10,AODV,None,Simple,7.5
106,18.176,71,10,AODV,None,Simple,7.5
107,12.8,50,10,AODV,None,Simple,7.5
108,11.52,45,10,AODV,None,Simple,7.5
109,12.544,49,10,AODV,None,Simple,7.5
110,15.36,60,10,AODV,None,Simple,7.5
111,16.384,64,10,AODV,None,Simple,7.5
112,16.384,64,10,AODV,None,Simple,7.5
113,15.872,62,10,AODV,None,Simple,7.5
114,13.056,51,10,AODV,None,Simple,7.5
115,12.544,49,10,AODV,None,Simple,7.5
116,12.032,47,10,AODV,None,Simple,7.5
117,15.36,60,10,AODV,None,Simple,7.5
118,15.616,61,10,AODV,None,Simple,7.5
119,14.08,55,10,AODV,None,Simple,7.5
120,13.824,54,10,AODV,None,Simple,7.5
121,14.848,58,10,AODV,None,Simple,7.5
122,14.336,56,10,AODV,None,Simple,7.5
123,12.288,48,10,AODV,None,Simple,7.5
124,11.776,46,10,AODV,None,Simple,7.5
125,11.008,43,10,AODV,None,Simple,7.5
126,8.448,33,10,AODV,None,Simple,7.5
127,8.192,32,10,AODV,None,Simple,7.5
128,8.704,34,10,AODV,None,Simple,7.5
129,11.008,43,10,AODV,None,Simple,7.5
130,13.056,51,10,AODV,None,Simple,7.5
131,12.288,48,10,AODV,None,Simple,7.5
132,11.264,44,10,AODV,None,Simple,7.5
133,12.032,47,10,AODV,None,Simple,7.5
134,11.264,44,10,AODV,None,Simple,7.5
135,10.24,40,10,AODV,None,Simple,7.5
136,8.96,35,10,AODV,None,Simple,7.5
137,8.96,35,10,AODV,None,Simple,7.5
138,13.824,54,10,AODV,None,Simple,7.5
139,12.032,47,10,AODV,None,Simple,7.5
140,10.496,41,10,AODV,None,Simple,7.5
141,11.264,44,10,AODV,None,Simple,7.5
142,11.008,43,10,AODV,None,Simple,7.5
143,11.52,45,10,AODV,None,Simple,7.5
144,11.776,46,10,AODV,None,Simple,7.5
145,12.288,48,10,AODV,None,Simple,7.5
146,12.288,48,10,AODV,None,Simple,7.5
147,10.496,41,10,AODV,None,Simple,7.5
148,11.776,46,10,AODV,None,Simple,7.5
149,10.24,40,10,AODV,None,Simple,7.5
150,12.288,48,10,AODV,None,Simple,7.5
151,8.448,33,10,AODV,None,Simple,7.5
152,8.192,32,10,AODV,None,Simple,7.5
153,10.24,40,10,AODV,None,Simple,7.5
154,8.96,35,10,AODV,None,Simple,7.5
155,8.448,33,10,AODV,None,Simple,7.5
156,9.728,38,10,AODV,None,Simple,7.5
157,13.056,51,10,AODV,None,Simple,7.5
158,12.032,47,10,AODV,None,Simple,7.5
159,15.616,61,10,AODV,None,Simple,7.5
160,11.776,46,10,AODV,None,Simple,7.5
161,13.312,52,10,AODV,None,Simple,7.5
162,13.568,53,10,AODV,None,Simple,7.5
163,13.056,51,10,AODV,None,Simple,7.5
164,13.312,52,10,AODV,None,Simple,7.5
165,13.312,52,10,AODV,None,Simple,7.5
166,12.544,49,10,AODV,None,Simple,7.5
167,9.728,38,10,AODV,None,Simple,7.5
168,12.032,47,10,AODV,None,Simple,7.5
169,12.032,47,10,AODV,None,Simple,7.5
170,12.032,47,10,AODV,None,Simple,7.5
171,11.52,45,10,AODV,None,Simple,7.5
172,12.288,48,10,AODV,None,Simple,7.5
173,12.544,49,10,AODV,None,Simple,7.5
174,12.8,50,10,AODV,None,Simple,7.5
175,10.496,41,10,AODV,None,Simple,7.5
176,8.192,32,10,AODV,None,Simple,7.5
177,6.912,27,10,AODV,None,Simple,7.5
178,10.24,40,10,AODV,None,Simple,7.5
179,9.472,37,10,AODV,None,Simple,7.5
180,10.496,41,10,AODV,None,Simple,7.5
181,8.704,34,10,AODV,None,Simple,7.5
182,12.032,47,10,AODV,None,Simple,7.5
183,10.24,40,10,AODV,None,Simple,7.5
184,10.752,42,10,AODV,None,Simple,7.5
185,7.168,28,10,AODV,None,Simple,7.5
186,9.472,37,10,AODV,None,Simple,7.5
187,9.472,37,10,AODV,None,Simple,7.5
188,9.216,36,10,AODV,None,Simple,7.5
189,8.704,34,10,AODV,None,Simple,7.5
190,8.704,34,10,AODV,None,Simple,7.5
191,8.96,35,10,AODV,None,Simple,7.5
192,4.096,16,10,AODV,None,Simple,7.5
193,6.144,24,10,AODV,None,Simple,7.5
194,5.888,23,10,AODV,None,Simple,7.5
195,5.888,23,10,AODV,None,Simple,7.5
196,6.144,24,10,AODV,None,Simple,7.5
197,8.192,32,10,AODV,None,Simple,7.5
198,7.68,30,10,AODV,None,Simple,7.5
199,7.68,30,10,AODV,None,Simple,7.5
